Colesterol,Diagnosticos Originales,Diagnostico Interpolado (Lineal),Diagnostico Interpolado (Cuadratica),Diagnostico Interpolado (Cubica)
240,0,0,0,0
241,1,0,0,0
242,0,0,0,0
243,2,1,1,2
244,1,0,0,0
245,0,0,0,0
246,2,1,1,1
247,1,1,0,0
248,1,1,1,2
249,3,1,2,2
250,0,0,0,0
251,0,0,0,0
252,0,0,0,0
253,1,2,2,2
254,4,2,2,2
255,1,1,1,1
256,2,1,1,1
257,0,0,0,0
258,2,1,1,1
259,1,1,0,0
260,1,1,1,1
261,1,0,0,0
262,0,0,0,0
263,1,1,1,1
264,1,0,0,0
265,0,0,0,0
266,1,1,1,1
267,1,1,0,0
268,1,1,1,1
269,2,1,1,1
270,1,0,0,0
272,0,0,0,0
273,0,0,0,0
274,1,2,2,2
275,3,1,2,2
276,1,1,0,0
277,1,0,0,0
278,0,0,0,0
279,0,0,0,0
280,0,0,0,0
281,0,0,0,0
282,1,2,2,2
283,4,2,3,3
284,2,1,1,1
285,1,1,1,1
286,0,1,1,1
287,2,2,2,2
288,0,2,1,1
289,2,2,2,2
290,2,1,1,1
291,1,1,0,0
292,0,1,0,0
293,0,1,0,0
294,1,1,1,1
295,1,0,0,0
296,0,0,0,0
297,0,0,0,0
298,0,0,0,0
299,1,1,1,1
300,2,1,1,1
301,1,0,0,0
302,0,0,0,0
303,0,0,0,0
304,0,0,0,0
305,1,1,1,1
306,2,0,0,0
307,0,0,0,0
308,1,0,0,0
309,0,1,1,1
310,2,1,2,2
311,0,1,1,1
312,1,0,0,0
313,0,0,0,0
314,0,0,0,0
315,0,0,0,0
316,1,1,1,1
317,0,1,1,1
318,0,1,0,0
319,1,1,1,1
320,1,0,0,0
321,0,0,0,0
322,0,0,0,0
323,1,0,1,1
324,0,0,0,0
325,0,0,0,0
326,0,0,0,0
327,1,1,1,1
328,1,1,1,1
329,0,1,1,1
330,0,1,1,1
331,2,2,2,2
332,0,2,2,2
333,0,2,2,2
334,0,2,2,2
335,0,2,2,2
336,2,1,1,1
337,0,1,0,0
338,0,0,0,0
339,0,0,0,0
340,0,0,0,0
341,0,0,0,0
342,1,0,0,0
343,0,0,0,0
344,0,0,-1,-1
345,0,0,-1,-1
346,0,0,-1,-1
347,0,0,0,0
348,0,0,0,0
349,0,0,1,0
350,0,0,1,1
351,0,0,2,1
352,0,0,1,1
353,0,0,1,1
354,1,0,0,0
355,0,0,0,0
356,0,0,0,0
357,0,0,0,-1
358,0,0,0,0
359,0,0,0,0
360,0,0,0,0
361,0,0,0,0
362,0,0,0,0
363,0,0,0,0
364,0,0,0,1
365,0,0,0,1
366,0,0,1,1
367,0,0,1,1
368,0,0,1,1
369,0,0,1,1
370,0,0,1,1
371,0,0,1,1
372,0,0,1,1
373,0,0,1,1
374,0,0,1,1
375,0,0,1,1
376,0,0,1,1
377,0,0,0,1
378,0,0,0,1
379,0,0,0,1
380,0,0,0,1
381,0,0,0,1
382,0,0,0,1
383,0,0,0,0
384,0,0,0,0
385,0,0,0,0
386,0,0,0,0
387,0,0,0,0
388,0,0,0,0
389,0,0,0,0
390,0,0,0,0
391,0,0,0,0
392,0,0,0,0
393,0,0,0,0
394,0,0,0,0
395,0,0,0,0
396,0,0,0,0
397,0,0,0,0
398,0,0,0,0
399,0,0,0,0
400,0,0,0,0
401,0,0,0,0
402,0,0,0,0
403,0,0,0,0
404,0,0,0,0
405,0,0,0,0
406,0,0,0,0
407,0,0,0,0
408,1,1,1,1
409,0,1,1,1
410,1,0,0,0
411,0,0,0,0
412,0,0,0,0
413,0,0,0,0
414,0,0,0,0
415,0,0,0,0
416,0,0,0,0
417,0,0,0,0
